RAMA (RUS),"TIPO DE ACTIVIDAD (""Tipo 02_16"" del RUS)",CANTIDAD DE RELEVAMIENTOS,REMOTICIDAD FINAL,HERRAMIENTAS DE FABRICACIÓN,POSIBILIDAD DE DISTRIBUCIÓN,NECESIDAD DE TRASLADO CONSUMIDOR,EVALUACIÓN PRESENCIAL DE LA CALIDAD,VENTA EXPERIENCIA PRESENCIAL,HÁBITO DE CONSUMO REMOTO,USOS NO COMERCIALES,REMOTO FULL,REMOTO HUB,REMOTO MIX,R. COMPLEJO,NO REMOTO
"ALQUILER DE MAQUINARIA Y EQUIPO, ALQUILER DE EFECTOS PERSONALES",ALQUILER AUTOS,24,remotoComplex,Infraestructura considerable,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,1,2,3,3
FABRICACION DE SUSTANCIAS Y PRODUCTOS QUIMICOS,FABRICA DE ART. DE LIMPIEZA Y PERFUMERIA,7,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,APARATOS DE GIMNASIA (VENTA),10,remotoHub,Infraestructura considerable,Factible de manera eficiente,No requiere,Presencial,No agrega valor,Público remoto considerable,,3,4,3,3,4
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",ESCUELA DE NATACION,9,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
SERVICIOS INFORMATICOS Y ACTIVIDADES CONEXAS,INTERNET + KIOSCO,9,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,Opcional,Agrega mucho valor,Sin público remoto,,0,1,3,3,5
HOTELERIA Y GASTRONOMIA,CONFITERIA BAILABLE,4,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,TALABARTERIA,33,remotoHub,Herramientas manuales,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,1
FABRICACION DE PRODUCTOS METALICOS,ENVASES DE METAL,8,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
COMERCIO,REPARACION AIRE ACONDICIONADO,20,remotoHub,Herramientas manuales,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,2
COMERCIO,JUGUETES USADOS,2,remotoComplex,Infraestructura chica,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Público remoto potencial,,1,2,3,4,3
COMERCIO,FRUTERIA,5,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,HERBORISTERIA,11,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
ELABORACION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,VENTA DE CHURROS (ELABORACION),5,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
CONSTRUCCION,PERFORACIONES PARA OBRAS,2,remotoHub,No requiere,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,4,5,3,1,2
COMERCIO,CORTINAS DE BAÑO,14,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
FABRICACION DE PRODUCTOS DE MADERA Y CORCHO,FABRICA DE CORTINAS DE ENROLLAR,2,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
CONFECCION DE PRENDAS DE VESTIR,FABRICACION ROPA INTERIOR,4,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,ARTICULOS TOCADOR (VENTA),11,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO","DROGAS PARA CROMADORES, NIQUELADORES Y GALVANIZAD*",2,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,No requiere,No agrega valor,Público remoto potencial,,3,4,2,3,2
SERVICIOS EMPRESARIALES,LITOGRAFIA,3,remotoHub,Maquinaria liviana,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",ORGANISMOS PUBLICOS PROVINCIALES,13,servicioSi,,,,,,,servicioSi,,,,,
ENSEÑANZA,ESCUELA DE MANEJO,3,remotoComplex,Infraestructura considerable,"Factible, no eficiente",Se traslada una persona,Presencial,Es excluyente,Público remoto potencial,,0,0,2,6,5
COMERCIO,MANIQUIES,28,remotoHub,Infraestructura chica,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
OTROS SERVICIOS,ACADEMIA DE PELUQUERIA,7,remotoComplex,Infraestructura considerable,Factible de manera eficiente,Se traslada una persona,Presencial,Es excluyente,Público remoto incipiente,,0,1,2,6,6
COMERCIO,REPARACION DE AUDIO,22,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
COMERCIO,VENTA DE HERRAJES,8,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
COMERCIO,MONEDAS ANTIGUAS,10,remotoComplex,Infraestructura chica,"Factible, no eficiente",Se traslada un bien,Presencial,No agrega valor,Público remoto potencial,,1,2,3,5,4
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",CABLEVISION,6,remotoHub,Infraestructura considerable,Fundamental,No puede trasladarse,No requiere,Agrega algo de valor,Público remoto considerable,,2,4,4,2,3
COMERCIO,POLLOS,10,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
VIAS DE PREMETRO,VIAS DE PREMETRO,2,espacioPublico,,,,,,,espacioPublico,,,,,
SERVICIOS ANEXOS AL TRANSPORTE,TERMINAL DE MICROS,26,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,No requiere,Agrega mucho valor,Sin público remoto,,1,1,1,3,5
ELABORACION DE PRODUCTOS ALIMENTICOS Y BEBIDA,HELADERIA + PIZZERIA,4,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
GALERIA,GALERIA,1,remotoNo,Infraestructura considerable,No se distribuyen,Performance,No requiere,Agrega mucho valor,Sin público remoto,,1,1,1,3,5
BAJO TREN,BAJO TREN,1,espacioPublico,,,,,,,espacioPublico,,,,,
COMERCIO,DROGUERIA,8,remotoHub,Herramientas manuales,"Factible, no eficiente",No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,2,3,3,3,1
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",PRODUCTORA DE MUSICA,2,remotoComplex,Infraestructura chica,Digital,Performance,No requiere,Agrega mucho valor,Público remoto potencial,,2,2,3,4,3
SERVICIOS EMPRESARIALES,DESINFECCION DE INMUEBLES,4,remotoHub,Herramientas manuales,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,2
EDICION E IMPRESIÓN,DIARIO,7,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
COMERCIO,KIOSCO + FIAMBRERIA,8,remotoComplex,Infraestructura considerable,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,1,2,3,3
VENTA AL POR MAYOR DE ARTICULOS DE USO DOMESTICO O PERSONAL,DISTRIBUCION DIARIOS Y REVISTAS,5,remotoMix,Infraestructura chica,Fundamental,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
COMERCIO,TORTAS (VENTA NO ELAB.),7,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,"TROFEOS, MEDALLAS, COPAS",16,remotoHub,Herramientas manuales,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,1
SERVICIOS EMPRESARIALES,CONTROL DE PLAGAS,1,remotoHub,Herramientas manuales,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,2
COMERCIO,PIEDRAS PRECIOSAS,10,remotoMix,Herramientas manuales,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,2,4,4,2
FABRICACION DE PRODUCTOS DE CAUCHO Y PLASTICOS,FABRICA DE ART. DE PLASTICO,3,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
EDICION E IMPRESIÓN,TALLER DE ENCUADERNACION,3,remotoComplex,Infraestructura chica,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Público remoto incipiente,,0,1,3,5,5
COMERCIO POR MAYOR,VENTA POR MAYOR DE MERCANCIAS,6,remotoHub,Infraestructura considerable,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,4,3,2,3
"FABRICACION DE ARTICULOS DE MARROQUINERIA, TALABARTERIA Y CALZADO Y DE SUS PARTES",FABRICA DE ZAPATILLAS,1,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
SERVICIOS EMPRESARIALES,PELETERIA,3,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
"FABRICACION DE COQUE, PRODUCTOS DE LA REFINACION DEL PETROLEO Y COMBUSTIBLE NUCLEAR",FAB. PROD. DERIVADOS DEL PETROLEO,6,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
"ALQUILER DE MAQUINARIA Y EQUIPO, ALQUILER DE EFECTOS PERSONALES",ALQUILER DE MAQUINARIA Y EQUIPO,6,remotoMix,Infraestructura chica,Fundamental,Opcional,Opcional,No agrega valor,Público remoto considerable,,2,4,5,2,3
COMERCIO,"COCINAS, CALEFONES, VENTA",14,remotoMix,Infraestructura chica,Factible de manera eficiente,Opcional,Opcional,Agrega algo de valor,Público remoto considerable,,1,3,6,2,3
SERVICIOS EMPRESARIALES,SERVICIOS EMPRESARIALES (OTROS),29,remotoFull,No requiere,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,4,2,2,1,0
HOTELERIA Y GASTRONOMIA,PIZZERIA + HELADERIA,2,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
SERVICOS SOCIALES Y DE SALUD,CENTRO DE RADIOLOGIA,1,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
FABRICACION DE PRODUCTOS TEXTILES,FABRICA DE CORDONES,2,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
SERVICIOS ANEXOS AL TRANSPORTE,SERVICIOS PARA LA NAVEGACION,1,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
ELABORACION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,DESPACHO DE PAN (ELABORACION),2,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
FABRICACION DE MAQUINARIA Y EQUIPO NCP,FABRICA DE BALANZAS,3,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
FABRICACION DE PRODUCTOS DE MADERA Y CORCHO,FABRICA DE ABERTURAS,9,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,VENTA POR MAYOR REP. AUTOMOTORES,3,remotoHub,Infraestructura considerable,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,4,3,2,3
SERVICIOS DE ASOCIACIONES,SOCIEDAD DE FOMENTO,8,remotoComplex,No requiere,No se distribuyen,Performance,No requiere,Es excluyente,Público remoto potencial,,2,1,1,3,3
SERVICIOS EMPRESARIALES,LIMPIEZA DE EDIFICIOS,3,remotoHub,Maquinaria liviana,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,3
COMERCIO,CAMARAS DE FOTOS (VENTA),12,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
"CURTIDO Y TERMINACION DE CUEROS, FABRICACION DE ARTICULOS DE MARROQUINERIA, TALABARTERIA Y CALZADO",CURTIEMBRE,1,remotoHub,Herramientas manuales,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,2
SERVICIOS EMPRESARIALES,AUDITORIA Y ASESORAMIENTO CONTABLE,1,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
COMERCIO,REGALOS + KIOSCO,4,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",CANCHAS DE GOLF,5,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
SERVICIOS EMPRESARIALES,AGENCIA DE PUBLICIDAD,11,remotoFull,No requiere,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,5,3,2,0,1
FABRICACION DE PRODUCTOS DE CAUCHO Y PLASTICOS,FABRICA DE PROD. DE CAUCHO,5,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
UNIFICADO,UNIFICADO ES,2,espacioPublico,,,,,,,espacioPublico,,,,,
COMERCIO,ART. SEGURIDAD INDUSTRIAL,20,remotoFull,No requiere,Factible de manera eficiente,No requiere,No requiere,No agrega valor,Público remoto potencial,,4,4,2,2,1
"FABRICACION DE MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMATICA",FAB. MAQ. DE OFICINA,2,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,AEROMODELISMO,2,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,No requiere,Agrega mucho valor,Público remoto incipiente,,2,3,2,4,4
COMERCIO,ELECTRODOMESTICOS,187,remotoMix,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,3,4,3,4
"FABRICACION DE MUEBLES Y COLCHONES, INDUSTRIAS MANUFACTURERAS",FABRICACION DE MANUFACTURAS,1,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,CONCESIONARIA DE AUTOMORES,1,remotoNo,Infraestructura considerable,No se distribuyen,No requiere,Presencial,Agrega mucho valor,Público remoto incipiente,,1,1,2,4,5
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",EMBAJADA,95,servicioSi,,,,,,,servicioSi,,,,,
COMERCIO,KIOSCO + MERCERIA,6,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
SERVICOS SOCIALES Y DE SALUD,FONOAUDIOLOGIA,1,remotoNo,Maquinaria pesada,No se distribuyen,No requiere,Presencial,Agrega algo de valor,Sin público remoto,,1,2,3,2,4
INSTALACIONES PARA EDIFICIOS Y OBRAS DE INGENIERIA CIVIL,PLOMERIA + HERRERIA,3,remotoMix,Maquinaria pesada,Fundamental,Opcional,Opcional,No agrega valor,Público remoto considerable,,2,4,5,2,3
"ALQUILER DE MAQUINARIA Y EQUIPO, ALQUILER DE EFECTOS PERSONALES",ALQUILER DE DISFRACES,2,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto incipiente,,1,2,3,4,4
FABRICACION DE MAQUINARIA Y EQUIPO NCP,FAB. DE MOTORES,4,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,MUEBLES + ARTICULOS DE DECORACION (VENTA),1,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
COMERCIO,ARTICULOS TOCADOR (VENTA),4,remotoHub,Herramientas manuales,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,1
COMERCIO,VENTA DE HERRAJES,1,remotoHub,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
FABRICACION DE EQUIPOS DE COMUNICACION,FABRICACION DE EQUIPOS DE COMUNICACION,1,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,VTA. POR MAYOR DE ART. DE LIBRERIA,1,remotoHub,Infraestructura considerable,Factible de manera eficiente,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,3,4,3,2,3
SERVICIOS DE ASOCIACIONES,CIUDADANIA ITALIANA,5,servicioSi,,,,,,,servicioSi,,,,,
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",MULTICANAL,1,remotoHub,No requiere,Fundamental,No puede trasladarse,No requiere,Agrega algo de valor,Público remoto considerable,,3,4,4,1,2
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",GESTIONES JUDICIALES,1,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
COMERCIO,DEPORTES ACUATICOS,1,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
COMERCIO,PELUCAS,9,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Presencial,No agrega valor,Público remoto incipiente,,1,2,2,5,4
"FABRICACION DE ARTICULOS DE MARROQUINERIA, TALABARTERIA Y CALZADO Y DE SUS PARTES",FABRICA DE BOLSOS,1,remotoHub,Maquinaria liviana,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
SERVICOS SOCIALES Y DE SALUD,LABORATORIO DE ANALISIS CLINICOS,4,remotoNo,Maquinaria liviana,No se distribuyen,Se traslada una persona,No requiere,No agrega valor,Sin público remoto,,2,3,1,2,4
PRODUCTOS DE MADERA,CONFECCION DE MARCOS,1,remotoMix,Maquinaria liviana,"Factible, no eficiente",Opcional,Opcional,No agrega valor,Público remoto incipiente,,1,2,3,3,3
COMERCIO,ESTILOGRAFOS,3,remotoMix,Infraestructura chica,"Factible, no eficiente",Opcional,Opcional,Agrega algo de valor,Público remoto potencial,,0,1,5,3,2
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",CASA DE PROVINCIA,5,servicioSi,,,,,,,servicioSi,,,,,
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",CONSULADO,7,servicioSi,,,,,,,servicioSi,,,,,
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",GRABACIONES EN VIDEO,1,remotoHub,Herramientas manuales,No se distribuyen,No requiere,No requiere,Agrega algo de valor,Público remoto incipiente,,2,3,2,2,2
COMERCIO,SKI (VENTA DE ARTS.),3,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
COMERCIO,PELICULAS,6,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,2,4,4,3,2
COMERCIO,DIARIOS Y REVISTAS (VENTA),2,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
SERVICIOS AUXILIARES A LA ACTIVIDAD FINANCIERA,CAJA DE VALORES,6,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Sin público remoto,,5,3,0,0,1
COMERCIO,HABANOS,5,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
"FABRICACION DE MUEBLES Y COLCHONES, INDUSTRIAS MANUFACTURERAS",FABRICA DE MUEBLES,1,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,REPUESTOS DE AUTOMOTOR (VENTA),1,remotoMix,Maquinaria pesada,Factible de manera eficiente,Opcional,Opcional,No agrega valor,Público remoto considerable,,2,4,5,2,3
SERVICIOS EMPRESARIALES,CENTRO DE ABROCHADO Y PERFORACION,2,remotoMix,Herramientas manuales,"Factible, no eficiente",Opcional,Opcional,No agrega valor,Público remoto potencial,,1,2,4,3,1
SERVICIOS EMPRESARIALES,LIMPIEZA DE OFICINAS,1,remotoHub,Maquinaria liviana,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,3
COMERCIO AL POR MAYOR EN COMISION O CONSIGNACION,VENTA DE GAS NATURAL,2,remotoHub,Infraestructura considerable,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,5,3,2,3
"SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES NCP",ELIMINACION DE DESPERDICIOS,3,remotoHub,Maquinaria pesada,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,3
BAJO PUENTE,BAJO PUENTE,5,espacioPublico,,,,,,,espacioPublico,,,,,
SERVICIOS EMPRESARIALES,TRANSFERS,2,remotoMix,Infraestructura considerable,Fundamental,No puede trasladarse,Opcional,Agrega mucho valor,Público remoto potencial,,0,2,5,4,3
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",MINISTERIO DE JUSTICIA,1,servicioSi,,,,,,,servicioSi,,,,,
HOTELERIA Y GASTRONOMIA,PARRILLA + KIOSCO,1,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
COMERCIO,RESTAURADOR DE CUADROS,1,remotoMix,Herramientas manuales,Fundamental,Opcional,Opcional,Agrega algo de valor,Público remoto potencial,,0,2,6,3,1
COMERCIO,VENTA DE ANTEOJOS,12,remotoMix,Infraestructura chica,Factible de manera eficiente,Opcional,Opcional,Agrega algo de valor,Público remoto potencial,,0,2,6,3,2
COMERCIO,REPARACION DE PARAGUAS,1,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",HIPODROMO,3,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,GOLF (VENTA DE ARTS),1,remotoMix,Infraestructura chica,Factible de manera eficiente,No puede trasladarse,Opcional,Agrega algo de valor,Público remoto potencial,,0,3,6,3,2
ENSEÑANZA,ESCUELA DE BARMAN,1,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
FABRICACION DE PRODUCTOS QUIMICOS,FABRICA DE PAÑALES,1,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",AUTODROMO,1,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
COMERCIO,LABORATORIO DE RECETAS MAGISTRALES,2,remotoMix,Maquinaria liviana,No se distribuyen,No requiere,Opcional,Agrega algo de valor,Sin público remoto,,1,2,3,1,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,"MOTOS, REPUESTOS Y ACCESORIOS",1,remotoMix,Maquinaria pesada,Factible de manera eficiente,Opcional,Opcional,No agrega valor,Público remoto considerable,,2,4,5,2,3
SERVICIOS EMPRESARIALES,INSTITUTO DE GASTRONOMIA,2,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",SHOWS,5,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
SERVICIO DE TRANSPORTE AEREO,TRANSPORTE DE CARGAS AEREAS,3,remotoComplex,Infraestructura considerable,Fundamental,Se traslada un bien,Opcional,No agrega valor,Público remoto potencial,,1,2,3,4,3
FABRICACION DE PRODUCTOS TEXTILES,FABRIC. TAPICES Y ALFOMBRAS,2,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
SERVICIO DE TRANSPORTE AEREO,LINEA AEREA,4,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,No requiere,Agrega mucho valor,Sin público remoto,,1,1,1,3,5
SERVICIOS EMPRESARIALES NCP,CENTRO DE MEDIACION (DILIGENCIAMIENTOS JUDICIALES),1,servicioSi,,,,,,,servicioSi,,,,,
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",LOTERIA + INTERNET,2,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
SERVICIOS EMPRESARIALES,ENCHAPADO (JOYAS),5,remotoMix,Herramientas manuales,"Factible, no eficiente",Opcional,Opcional,No agrega valor,Público remoto incipiente,,1,2,3,3,2
COMERCIO,HIDROMASAJES,2,remotoMix,Infraestructura considerable,Fundamental,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
SERVICIOS EMPRESARIALES,ENGARCES (JOYAS),12,remotoMix,Herramientas manuales,"Factible, no eficiente",Opcional,Opcional,No agrega valor,Sin público remoto,,1,2,3,2,2
SERVICIOS EMPRESARIALES,ENHEBRADOR DE COLLARES,2,remotoMix,Herramientas manuales,"Factible, no eficiente",Opcional,Opcional,No agrega valor,Sin público remoto,,1,2,3,2,2
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",CAJA DE RETIROS Y JUBILACIONES DE LA POLICIA FEDE*,2,servicioSi,,,,,,,servicioSi,,,,,
